,515rcbc156,515rcbc157,515rcbc159,515rcbc160,515rcbc161,515rcbc168,515rcbc169,515rcbc170,515rcbc174,515rcbc175,515rcbc176,515rcbc177,515rcbc178,515rcbc179,515rcbc180,515rcbc181,515rcbc184,515rcbc185,515rcbc186,515rcbc187,515rcbc188,515rcbc189,515rcbc190,515rcbc191,515rcbc192,515rcbc193,515rcbc194
4304452k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4474844k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081058k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__,3.4594316186372973,2.0,0.0,1.584962500721156,0.0,2.0,2.0,2.321928094887362,1.0,1.0,2.584962500721156,1.0,1.0,0.0,0.0,1.584962500721156,2.0,0.0,0.0,2.807354922057604,2.0,2.0,2.584962500721156,1.584962500721156,0.0,0.0,0.0
929398k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,5.523561956057013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606189k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308017k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,4.169925001442312,5.247927513443585,0.0,0.0,0.0,4.954196310386875,0.0,0.0,0.0,2.0,4.459431618637297,0.0,0.0,0.0,2.0,6.700439718141092,6.22881869049588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033426k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__,4.0,4.169925001442312,0.0,0.0,0.0,5.285402218862249,0.0,0.0,2.584962500721156,1.584962500721156,6.321928094887363,0.0,0.0,0.0,0.0,5.087462841250339,5.857980995127572,4.321928094887363,0.0,4.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
817013k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura; s__vinacea,2.584962500721156,0.0,0.0,4.807354922057604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649518k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__Chroococcidiopsis; s__,8.430452551665532,8.581200581924957,0.0,0.0,0.0,11.986908624697694,0.0,6.658211482751795,5.247927513443585,4.392317422778761,9.85642552862553,1.0,3.584962500721156,0.0,4.643856189774724,7.643856189774724,11.083479327331842,3.321928094887362,4.087462841250339,5.554588851677638,7.614709844115208,0.0,2.0,7.6865005271832185,4.459431618637297,5.169925001442312,0.0
2752360k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,3.9068905956085187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
